Quantify Compound Summary Report 

Printed Mon Apr 19 16:14:00 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
128	128	TQS3_210326_128	B4 Sta Blank			
129	129	TQS3_210326_129	B4 Sta 0.625	6.67	101925	38634
130	130	TQS3_210326_130	B4 Sta 1.25	6.67	196338	75916
131	131	TQS3_210326_131	B4 Sta 3.125	6.68	514365	198489
132	132	TQS3_210326_132	B4 Sta 6.25	6.67	1039229	391100
133	133	TQS3_210326_133	B4 Sta 12.5	6.68	2041733	777620
134	134	TQS3_210326_134	B4 Sta 25	6.67	4195032	1586575
135	135	TQS3_210326_135	B4 Sta 50	6.68	7264517	2835860

Compound 7:  Fluxapyroxad

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210326_001	testd std 3.125 ng/ml	6.64	436409	288490
2	2	TQS3_210326_002	testd std 3.125 ng/ml	6.63	479547	331687
3	3	TQS3_210326_003	testd std 3.125 ng/ml	6.62	480142	337955
4	4	TQS3_210326_004	Blank			
5	5	TQS3_210326_005	B3 Sta Blank	6.66	65	52
6	6	TQS3_210326_006	B3 Sta 0.625	6.64	99418	67925
7	7	TQS3_210326_007	B3 Sta 1.25	6.65	214346	149381
8	8	TQS3_210326_008	B3 Sta 3.125	6.64	527900	366222
9	9	TQS3_210326_009	B3 Sta 6.25	6.64	1016124	699843
10	10	TQS3_210326_010	B3 Sta 12.5	6.64	1808483	1214554
11	11	TQS3_210326_011	B3 Sta 25	6.63	3629698	2424762
12	12	TQS3_210326_012	B3 Sta 50	6.64	6448121	4223954
13	13	TQS3_210326_013	20190415_C_E-LC	6.65	1290725	870836
14	14	TQS3_210326_014	20190528_C_F-LC	6.65	4122	2582
15	15	TQS3_210326_015	20190615_W_1_9-LC	6.64	1540	1285
16	16	TQS3_210326_016	20200304_C_P-LC	6.65	846	941
17	17	TQS3_210326_017	20200820_C_C-LC	6.65	2070	1601
18	18	TQS3_210326_018	20190511_C_G-LC	6.65	36620	24603
19	19	TQS3_210326_019	20190528_C_C-LC	6.65	1378183	933153
20	20	TQS3_210326_020	20190819_C_K-LC	6.65	1405	860
21	21	TQS3_210326_021	20190819_C_N-LC	6.65	1900	1345
22	22	TQS3_210326_022	20200304_C_Fg-LC	6.65	917820	617604
23	23	TQS3_210326_023	20200304_C_Hg-LC	6.65	1115633	756088
24	24	TQS3_210326_024	20200304_C_Ht-LC	6.64	4078117	2749890
25	25	TQS3_210326_025	20200304_C_Kg-LC	6.65	1017469	683416
26	26	TQS3_210326_026	20200820_C_E-LC	6.65	8509	5806
27	27	TQS3_210326_027	20200831_S_1_12-LC	6.64	7549	5297
28	28	TQS3_210326_028	20190510_S_1_9-LC	6.64	12758	8728
29	29	TQS3_210326_029	20190511_C_I-LC	6.66	396353	265928
30	30	TQS3_210326_030	20190511_C_J-LC	6.66	1211	568
31	31	TQS3_210326_031	20190511_C_K-LC	6.65	6831225	4584236
32	32	TQS3_210326_032	20190511_C_L-LC	6.65	9756156	7832758
33	33	TQS3_210326_033	20190511_C_M-LC	6.65	800165	539030
34	34	TQS3_210326_034	20190511_C_N-LC	6.65	19075	12712
35	35	TQS3_210326_035	20190511_C_O-LC	6.66	2062	1129
36	36	TQS3_210326_036	20190528_C_A-LC	6.67	1541	1069
37	37	TQS3_210326_037	20190528_C_B-LC	6.65	23103	15073
38	38	TQS3_210326_038	20190528_C_D-LC	6.65	4904	3569
39	39	TQS3_210326_039	20190528_C_E-LC	6.65	4727814	3149758
40	40	TQS3_210326_040	20190528_C_H-LC	6.65	130375	87469
41	41	TQS3_210326_041	20190606_W_1_2-LC	6.65	1295	914
42	42	TQS3_210326_042	20190615_S_1_9-LC	6.65	6008	4456
43	43	TQS3_210326_043	20190819_C_J-LC	6.59	547	565
44	44	TQS3_210326_044	20190819_C_M-LC	6.66	1743	613
45	45	TQS3_210326_045	20190819_C_P-LC	6.65	5365	3725
46	46	TQS3_210326_046	20190819_C_Q-LC	6.65	1104	473
47	47	TQS3_210326_047	20200304_C_Eg-LC	6.65	570264	378944
48	48	TQS3_210326_048	20200304_C_Et-LC	6.66	1424760	936373
49	49	TQS3_210326_049	20200304_C_Ft-LC	6.66	1867747	1242091
50	50	TQS3_210326_050	20200304_C_Ig-LC	6.65	607412	400232
51	51	TQS3_210326_051	20200304_C_It-LC	6.66	3686700	2445788
52	52	TQS3_210326_052	20200304_C_Jg-LC	6.66	975606	660012
53	53	TQS3_210326_053	20200304_C_Jt-LC	6.66	4403064	2896645
54	54	TQS3_210326_054	20200304_C_Kt-LC	6.66	8835897	6523895
55	55	TQS3_210326_055	20200627_S_1_5-LC	6.66	17796	12464
56	56	TQS3_210326_056	20200701_S_1_12-LC	6.66	8319	5954
57	57	TQS3_210326_057	20200812_S_1_12-LC	6.66	70665	47604
58	58	TQS3_210326_058	20200820_C_A-LC	6.66	698	1010
59	59	TQS3_210326_059	20200820_C_B-LC			
60	60	TQS3_210326_060	20200820_C_D-LC			
61	61	TQS3_210326_061	20200820_C_Ft-LC	6.64	9658398	7687063
62	62	TQS3_210326_062	20190415_C_F-LC	6.64	141409	90884
63	63	TQS3_210326_063	Blank	6.65	85	174
64	64	TQS3_210326_064	B3 Sta Blank	6.66	950	755
65	65	TQS3_210326_065	B3 Sta 0.625	6.65	113224	77813
66	66	TQS3_210326_066	B3 Sta 1.25	6.66	225667	151889
67	67	TQS3_210326_067	B3 Sta 3.125	6.65	552513	358445
68	68	TQS3_210326_068	B3 Sta 6.25	6.66	1067959	709369
69	69	TQS3_210326_069	B3 Sta 12.5	6.65	1960812	1292580
70	70	TQS3_210326_070	B3 Sta 25	6.65	3879591	2509746
71	71	TQS3_210326_071	B3 Sta 50	6.65	6596148	4196236
72	72	TQS3_210326_072	Blank	6.67	678	523
73	73	TQS3_210326_073	B4 Sta Blank	6.65	605	397
74	74	TQS3_210326_074	B4 Sta 0.625	6.65	112103	73708
75	75	TQS3_210326_075	B4 Sta 1.25			
76	76	TQS3_210326_076	B4 Sta 3.125	6.65	545419	363437
77	77	TQS3_210326_077	B4 Sta 6.25	6.64	1051699	690218
78	78	TQS3_210326_078	B4 Sta 12.5	6.64	2021521	1333316
79	79	TQS3_210326_079	B4 Sta 25	6.64	3781717	2445666
80	80	TQS3_210326_080	B4 Sta 50	6.64	6492223	4130790
81	81	TQS3_210326_081	20201008_W_1_12-LC	6.65	2912	1708
82	82	TQS3_210326_082	20201023_S_7-LC	6.65	13675	10270
83	83	TQS3_210326_083	20201023_S_8-LC	6.64	18301	10765
84	84	TQS3_210326_084	20190528_S_3-LC	6.64	12640	8285
85	85	TQS3_210326_085	20190528_S_4-LC	6.64	23819	15195
86	86	TQS3_210326_086	20190528_S_7-LC	6.64	103365	67847
87	87	TQS3_210326_087	20190528_S_8_12-LC	6.64	129520	86569
88	88	TQS3_210326_088	20190818_S_10_12-LC	6.64	17405	12305
89	89	TQS3_210326_089	20190818_S_2-LC	6.63	4804	3129
90	90	TQS3_210326_090	20190818_S_3-LC	6.63	6310	3894
91	91	TQS3_210326_091	20190818_S_4-LC	6.63	5679	3625
92	92	TQS3_210326_092	20190818_S_5-LC	6.63	5570	4154
93	93	TQS3_210326_093	20190818_S_6-LC	6.63	9913	5892
94	94	TQS3_210326_094	20190818_S_7-LC	6.63	20612	13661
95	95	TQS3_210326_095	20200617_S_1_4-LC	6.63	38185	29233
96	96	TQS3_210326_096	20200617_W_10_12-LC	6.62	259	91
97	97	TQS3_210326_097	20200617_W_6-LC	6.63	527	160
98	98	TQS3_210326_098	20200617_W_7-LC	6.64	375	111
99	99	TQS3_210326_099	20200617_W_8_9-LC	6.64	203	146
100	100	TQS3_210326_100	20200813_S_3-LC	6.63	32119	20907
101	101	TQS3_210326_101	20201023_S_1_2-LC	6.64	44974	26256
102	102	TQS3_210326_102	20201023_S_5-LC	6.64	8575	6314
103	103	TQS3_210326_103	20201023_S_6-LC	6.64	8863	5723
104	104	TQS3_210326_104	20190528_S_2-LC	6.63	5139	3848
105	105	TQS3_210326_105	20190528_S_5-LC	6.63	20008	12748
106	106	TQS3_210326_106	20190528_S_6-LC	6.63	38196	26820
107	107	TQS3_210326_107	20190818_S_1-LC	6.64	2339	1558
108	108	TQS3_210326_108	20190818_S_8_9-LC	6.63	10741	7164
109	109	TQS3_210326_109	20200617_S_8_9-LC	6.63	22001	16759
110	110	TQS3_210326_110	20190528_W_1-LC	6.62	171	122
111	111	TQS3_210326_111	20200813_S_4-LC	6.63	19690	13032
112	112	TQS3_210326_112	20200813_S_5-LC	6.63	21628	15525
113	113	TQS3_210326_113	20200813_S_6-LC	6.63	24471	16035
114	114	TQS3_210326_114	20200813_S_7-LC	6.63	24346	15158
115	115	TQS3_210326_115	20200813_S_8_12-LC	6.63	27263	18630
116	116	TQS3_210326_116	20200816_S_1-LC	6.62	5577	3083
117	117	TQS3_210326_117	20200816_S_2-LC	6.62	4703	2755
118	118	TQS3_210326_118	20200816_S_3-LC	6.64	3602	2606
119	119	TQS3_210326_119	20200816_S_4-LC	6.62	4824	3301
120	120	TQS3_210326_120	20200816_S_5-LC	6.63	10461	7390
121	121	TQS3_210326_121	20200924_S_1_9-LC	6.63	14175	10682
122	122	TQS3_210326_122	20201008_S_1_12-LC	6.64	2960	1812
123	123	TQS3_210326_123	20200617_S_10_12-LC	6.63	11659	8335
124	124	TQS3_210326_124	20200617_S_5-LC	6.62	12691	10507
125	125	TQS3_210326_125	20200617_S_6-LC	6.63	10312	8224
126	126	TQS3_210326_126	20200617_S_7-LC	6.64	12960	10260
127	127	TQS3_210326_127	20200813_S_1_2-LC	6.63	16019	11006
128	128	TQS3_210326_128	B4 Sta Blank	6.62	59	72
129	129	TQS3_210326_129	B4 Sta 0.625	6.63	111798	74445
130	130	TQS3_210326_130	B4 Sta 1.25	6.63	218753	149205
131	131	TQS3_210326_131	B4 Sta 3.125	6.64	562833	365276
132	132	TQS3_210326_132	B4 Sta 6.25	6.64	1076795	708441
133	133	TQS3_210326_133	B4 Sta 12.5	6.64	2037611	1315570
134	134	TQS3_210326_134	B4 Sta 25	6.63	3858047	2493234
135	135	TQS3_210326_135	B4 Sta 50	6.64	6544833	4112106

Compound 8:  Boscalid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210326_001	testd std 3.125 ng/ml	6.56	156135	98881
2	2	TQS3_210326_002	testd std 3.125 ng/ml	6.55	154013	104147
3	3	TQS3_210326_003	testd std 3.125 ng/ml	6.54	148901	98813
4	4	TQS3_210326_004	Blank	6.54	137	
5	5	TQS3_210326_005	B3 Sta Blank			
6	6	TQS3_210326_006	B3 Sta 0.625	6.56	26347	18176
7	7	TQS3_210326_007	B3 Sta 1.25	6.57	58918	40065
8	8	TQS3_210326_008	B3 Sta 3.125	6.56	139885	96720
9	9	TQS3_210326_009	B3 Sta 6.25	6.56	284110	188914
10	10	TQS3_210326_010	B3 Sta 12.5	6.56	511415	351048
11	11	TQS3_210326_011	B3 Sta 25	6.55	1076251	724231
12	12	TQS3_210326_012	B3 Sta 50	6.56	2000888	1309101
13	13	TQS3_210326_013	20190415_C_E-LC	6.57	718019	484530
14	14	TQS3_210326_014	20190528_C_F-LC	6.40	224	3811
15	15	TQS3_210326_015	20190615_W_1_9-LC	6.57	965	201
16	16	TQS3_210326_016	20200304_C_P-LC	6.42	186	5016
17	17	TQS3_210326_017	20200820_C_C-LC	6.57	111511	77668
18	18	TQS3_210326_018	20190511_C_G-LC	6.57	6890	3835
19	19	TQS3_210326_019	20190528_C_C-LC	6.57	13686	9494
20	20	TQS3_210326_020	20190819_C_K-LC	6.56	7791	4806
21	21	TQS3_210326_021	20190819_C_N-LC	6.57	8860	5703
22	22	TQS3_210326_022	20200304_C_Fg-LC	6.57	371232	249833
23	23	TQS3_210326_023	20200304_C_Hg-LC	6.57	1103971	726093
24	24	TQS3_210326_024	20200304_C_Ht-LC	6.56	1548258	1021478
25	25	TQS3_210326_025	20200304_C_Kg-LC	6.57	1046027	685193
26	26	TQS3_210326_026	20200820_C_E-LC	6.57	12367	9057
27	27	TQS3_210326_027	20200831_S_1_12-LC	6.56	95315	59929
28	28	TQS3_210326_028	20190510_S_1_9-LC	6.56	5242	3796
29	29	TQS3_210326_029	20190511_C_I-LC	6.58	17117	11244
30	30	TQS3_210326_030	20190511_C_J-LC	6.58	26217	18364
31	31	TQS3_210326_031	20190511_C_K-LC	6.58	121344	79880
32	32	TQS3_210326_032	20190511_C_L-LC	6.58	341356	225317
33	33	TQS3_210326_033	20190511_C_M-LC	6.58	5718	3176
34	34	TQS3_210326_034	20190511_C_N-LC	6.57	9707	5979
35	35	TQS3_210326_035	20190511_C_O-LC	6.57	5361	3427
36	36	TQS3_210326_036	20190528_C_A-LC	6.57	5721	3909
37	37	TQS3_210326_037	20190528_C_B-LC	6.58	7278	4833
38	38	TQS3_210326_038	20190528_C_D-LC	6.57	23350	15244
39	39	TQS3_210326_039	20190528_C_E-LC	6.38	3645	63650
40	40	TQS3_210326_040	20190528_C_H-LC	6.57	45288	32296
41	41	TQS3_210326_041	20190606_W_1_2-LC	6.58	237	178
42	42	TQS3_210326_042	20190615_S_1_9-LC	6.57	7046	4712
43	43	TQS3_210326_043	20190819_C_J-LC	6.40	153	4224
44	44	TQS3_210326_044	20190819_C_M-LC	6.58	6103	4716
45	45	TQS3_210326_045	20190819_C_P-LC	6.57	6999	3718
46	46	TQS3_210326_046	20190819_C_Q-LC	6.58	5585	3332
47	47	TQS3_210326_047	20200304_C_Eg-LC	6.57	264274	176621
48	48	TQS3_210326_048	20200304_C_Et-LC	6.58	563945	383628
49	49	TQS3_210326_049	20200304_C_Ft-LC	6.58	472027	315162
50	50	TQS3_210326_050	20200304_C_Ig-LC	6.58	1331798	894961
51	51	TQS3_210326_051	20200304_C_It-LC	6.58	1575949	1049132
52	52	TQS3_210326_052	20200304_C_Jg-LC	6.58	729557	483585
53	53	TQS3_210326_053	20200304_C_Jt-LC	6.58	1302561	875356
54	54	TQS3_210326_054	20200304_C_Kt-LC	6.58	4169848	2728603
55	55	TQS3_210326_055	20200627_S_1_5-LC	6.58	32430	22620
56	56	TQS3_210326_056	20200701_S_1_12-LC	6.58	49134	31457
57	57	TQS3_210326_057	20200812_S_1_12-LC	6.58	87145	58522
58	58	TQS3_210326_058	20200820_C_A-LC	6.58	4719	3187
59	59	TQS3_210326_059	20200820_C_B-LC	6.59	366	64
60	60	TQS3_210326_060	20200820_C_D-LC	6.55	108	
61	61	TQS3_210326_061	20200820_C_Ft-LC	6.56	1835166	1190681
62	62	TQS3_210326_062	20190415_C_F-LC	6.56	62540	41039
63	63	TQS3_210326_063	Blank	6.55	133	
64	64	TQS3_210326_064	B3 Sta Blank	6.57	443	85
65	65	TQS3_210326_065	B3 Sta 0.625	6.58	28056	18764
66	66	TQS3_210326_066	B3 Sta 1.25	6.58	56829	39257
67	67	TQS3_210326_067	B3 Sta 3.125	6.58	142419	96267
68	68	TQS3_210326_068	B3 Sta 6.25	6.58	279854	189022
69	69	TQS3_210326_069	B3 Sta 12.5	6.57	533751	359671
70	70	TQS3_210326_070	B3 Sta 25	6.57	1104783	729987
71	71	TQS3_210326_071	B3 Sta 50	6.57	1975297	1278596
72	72	TQS3_210326_072	Blank	6.40	61	159
73	73	TQS3_210326_073	B4 Sta Blank	6.57	857	144
74	74	TQS3_210326_074	B4 Sta 0.625	6.57	27448	19121
75	75	TQS3_210326_075	B4 Sta 1.25	6.37	58	
76	76	TQS3_210326_076	B4 Sta 3.125	6.57	140459	92695
77	77	TQS3_210326_077	B4 Sta 6.25	6.57	271950	183607
78	78	TQS3_210326_078	B4 Sta 12.5	6.56	547777	370998
79	79	TQS3_210326_079	B4 Sta 25	6.56	1080838	710468
80	80	TQS3_210326_080	B4 Sta 50	6.57	1960987	1278917
81	81	TQS3_210326_081	20201008_W_1_12-LC	6.56	988	338
82	82	TQS3_210326_082	20201023_S_7-LC	6.57	196501	130553
83	83	TQS3_210326_083	20201023_S_8-LC	6.56	221261	144924
84	84	TQS3_210326_084	20190528_S_3-LC	6.56	8631	5078
85	85	TQS3_210326_085	20190528_S_4-LC	6.56	10394	6672
86	86	TQS3_210326_086	20190528_S_7-LC	6.56	13514	9145
87	87	TQS3_210326_087	20190528_S_8_12-LC	6.56	12895	8216
88	88	TQS3_210326_088	20190818_S_10_12-LC	6.56	15035	8709
89	89	TQS3_210326_089	20190818_S_2-LC	6.55	8581	4833
90	90	TQS3_210326_090	20190818_S_3-LC	6.43	277	5528
91	91	TQS3_210326_091	20190818_S_4-LC	6.55	8864	5013
92	92	TQS3_210326_092	20190818_S_5-LC	6.56	10013	6205
93	93	TQS3_210326_093	20190818_S_6-LC	6.55	9167	5844
94	94	TQS3_210326_094	20190818_S_7-LC	6.55	13257	8336
95	95	TQS3_210326_095	20200617_S_1_4-LC	6.55	80214	49156
96	96	TQS3_210326_096	20200617_W_10_12-LC	6.56	329	121
97	97	TQS3_210326_097	20200617_W_6-LC	6.57	516	204
98	98	TQS3_210326_098	20200617_W_7-LC	6.57	296	84
99	99	TQS3_210326_099	20200617_W_8_9-LC	6.55	118	73
100	100	TQS3_210326_100	20200813_S_3-LC	6.56	80369	52306
101	101	TQS3_210326_101	20201023_S_1_2-LC	6.56	93945	59915
102	102	TQS3_210326_102	20201023_S_5-LC	6.56	141128	91331
103	103	TQS3_210326_103	20201023_S_6-LC	6.56	128558	84745
104	104	TQS3_210326_104	20190528_S_2-LC	6.56	3765	2254
105	105	TQS3_210326_105	20190528_S_5-LC	6.56	4650	3324
106	106	TQS3_210326_106	20190528_S_6-LC	6.55	6221	4353
107	107	TQS3_210326_107	20190818_S_1-LC	6.56	4286	2519
108	108	TQS3_210326_108	20190818_S_8_9-LC	6.56	6374	3743
109	109	TQS3_210326_109	20200617_S_8_9-LC	6.55	49524	31587
110	110	TQS3_210326_110	20190528_W_1-LC	6.58	169	116
111	111	TQS3_210326_111	20200813_S_4-LC	6.55	52530	32636
112	112	TQS3_210326_112	20200813_S_5-LC	6.55	53494	34934
113	113	TQS3_210326_113	20200813_S_6-LC	6.55	56656	36670
114	114	TQS3_210326_114	20200813_S_7-LC	6.55	47520	30126
115	115	TQS3_210326_115	20200813_S_8_12-LC	6.54	45804	29894
116	116	TQS3_210326_116	20200816_S_1-LC	6.55	21324	14344
117	117	TQS3_210326_117	20200816_S_2-LC	6.55	30303	20110
118	118	TQS3_210326_118	20200816_S_3-LC	6.55	36687	22895
119	119	TQS3_210326_119	20200816_S_4-LC	6.55	33335	21903
120	120	TQS3_210326_120	20200816_S_5-LC	6.55	44900	27017
121	121	TQS3_210326_121	20200924_S_1_9-LC	6.55	42489	30385
122	122	TQS3_210326_122	20201008_S_1_12-LC	6.55	38257	24011
123	123	TQS3_210326_123	20200617_S_10_12-LC	6.55	29072	17694
124	124	TQS3_210326_124	20200617_S_5-LC	6.54	35543	25388
125	125	TQS3_210326_125	20200617_S_6-LC	6.55	33619	21234
126	126	TQS3_210326_126	20200617_S_7-LC	6.55	35375	22453
127	127	TQS3_210326_127	20200813_S_1_2-LC	6.55	19089	12142
128	128	TQS3_210326_128	B4 Sta Blank	6.62	73	
129	129	TQS3_210326_129	B4 Sta 0.625	6.55	28472	19342
130	130	TQS3_210326_130	B4 Sta 1.25	6.55	54644	35212
131	131	TQS3_210326_131	B4 Sta 3.125	6.56	141154	93944
132	132	TQS3_210326_132	B4 Sta 6.25	6.56	280826	189888
133	133	TQS3_210326_133	B4 Sta 12.5	6.56	542183	360192
134	134	TQS3_210326_134	B4 Sta 25	6.56	1113857	722108
135	135	TQS3_210326_135	B4 Sta 50	6.56	1964805	1255990

Compound 9:  Flutolanil

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210326_001	testd std 3.125 ng/ml	6.62	2194950	1501978
2	2	TQS3_210326_002	testd std 3.125 ng/ml	6.61	1989729	1461613
3	3	TQS3_210326_003	testd std 3.125 ng/ml	6.60	1822396	1408018
4	4	TQS3_210326_004	Blank			
5	5	TQS3_210326_005	B3 Sta Blank	6.62	471	539
6	6	TQS3_210326_006	B3 Sta 0.625	6.63	333016	270137
7	7	TQS3_210326_007	B3 Sta 1.25	6.63	735705	591093
8	8	TQS3_210326_008	B3 Sta 3.125	6.63	1936693	1504057
9	9	TQS3_210326_009	B3 Sta 6.25	6.62	3913589	2933519
10	10	TQS3_210326_010	B3 Sta 12.5	6.62	7080483	5320052
11	11	TQS3_210326_011	B3 Sta 25	6.62	10077016	8861721
12	12	TQS3_210326_012	B3 Sta 50	6.62	11741990	10796736
13	13	TQS3_210326_013	20190415_C_E-LC	6.64	22163	15472
14	14	TQS3_210326_014	20190528_C_F-LC	6.64	463392	356721
15	15	TQS3_210326_015	20190615_W_1_9-LC	6.64	41103	32890
16	16	TQS3_210326_016	20200304_C_P-LC	6.64	396265	291356
17	17	TQS3_210326_017	20200820_C_C-LC	6.64	76246	57520
18	18	TQS3_210326_018	20190511_C_G-LC	6.63	469001	350531
19	19	TQS3_210326_019	20190528_C_C-LC	6.63	262992	196706
20	20	TQS3_210326_020	20190819_C_K-LC	6.63	215827	164521
21	21	TQS3_210326_021	20190819_C_N-LC	6.63	224675	166306
22	22	TQS3_210326_022	20200304_C_Fg-LC	6.65	1993	470
23	23	TQS3_210326_023	20200304_C_Hg-LC	6.64	2371	1596
24	24	TQS3_210326_024	20200304_C_Ht-LC	6.63	59426	43444
25	25	TQS3_210326_025	20200304_C_Kg-LC	6.63	2819	2559
26	26	TQS3_210326_026	20200820_C_E-LC	6.63	19612	14313
27	27	TQS3_210326_027	20200831_S_1_12-LC	6.63	95850	70127
28	28	TQS3_210326_028	20190510_S_1_9-LC	6.63	528705	406884
29	29	TQS3_210326_029	20190511_C_I-LC	6.64	37886	30104
30	30	TQS3_210326_030	20190511_C_J-LC	6.64	38112	28563
31	31	TQS3_210326_031	20190511_C_K-LC	6.64	400066	298472
32	32	TQS3_210326_032	20190511_C_L-LC	6.64	90610	65321
33	33	TQS3_210326_033	20190511_C_M-LC	6.64	330160	253743
34	34	TQS3_210326_034	20190511_C_N-LC	6.63	419089	325844
35	35	TQS3_210326_035	20190511_C_O-LC	6.63	506959	390575
36	36	TQS3_210326_036	20190528_C_A-LC	6.63	91858	70925
37	37	TQS3_210326_037	20190528_C_B-LC	6.64	130725	101674
38	38	TQS3_210326_038	20190528_C_D-LC	6.64	29538	23281
39	39	TQS3_210326_039	20190528_C_E-LC	6.63	421850	318078
40	40	TQS3_210326_040	20190528_C_H-LC	6.63	5027843	3877569
41	41	TQS3_210326_041	20190606_W_1_2-LC	6.64	18272	14342
42	42	TQS3_210326_042	20190615_S_1_9-LC	6.63	189436	145172
43	43	TQS3_210326_043	20190819_C_J-LC	6.63	326746	248969
44	44	TQS3_210326_044	20190819_C_M-LC	6.63	256277	198420
45	45	TQS3_210326_045	20190819_C_P-LC	6.63	35594	27696
46	46	TQS3_210326_046	20190819_C_Q-LC	6.63	204498	157958
47	47	TQS3_210326_047	20200304_C_Eg-LC	6.63	675	319
48	48	TQS3_210326_048	20200304_C_Et-LC	6.64	3693	2941
49	49	TQS3_210326_049	20200304_C_Ft-LC	6.64	15931	12403
50	50	TQS3_210326_050	20200304_C_Ig-LC	6.65	349	433
51	51	TQS3_210326_051	20200304_C_It-LC	6.64	19765	14735
52	52	TQS3_210326_052	20200304_C_Jg-LC	6.65	368	294
53	53	TQS3_210326_053	20200304_C_Jt-LC	6.65	3254	2107
54	54	TQS3_210326_054	20200304_C_Kt-LC	6.64	38321	29512
55	55	TQS3_210326_055	20200627_S_1_5-LC	6.64	58130	44451
56	56	TQS3_210326_056	20200701_S_1_12-LC	6.64	58588	45656
57	57	TQS3_210326_057	20200812_S_1_12-LC	6.65	73064	52110
58	58	TQS3_210326_058	20200820_C_A-LC	6.64	83089	63357
59	59	TQS3_210326_059	20200820_C_B-LC			
60	60	TQS3_210326_060	20200820_C_D-LC			
61	61	TQS3_210326_061	20200820_C_Ft-LC	6.63	192731	146463
62	62	TQS3_210326_062	20190415_C_F-LC	6.63	3742	2831
63	63	TQS3_210326_063	Blank			
64	64	TQS3_210326_064	B3 Sta Blank	6.69	48	
65	65	TQS3_210326_065	B3 Sta 0.625	6.64	385080	306832
66	66	TQS3_210326_066	B3 Sta 1.25	6.64	784383	629276
67	67	TQS3_210326_067	B3 Sta 3.125	6.64	1956998	1516830
68	68	TQS3_210326_068	B3 Sta 6.25	6.64	3979167	3005924
69	69	TQS3_210326_069	B3 Sta 12.5	6.64	7146857	5559113
70	70	TQS3_210326_070	B3 Sta 25	6.64	10081451	9042608
71	71	TQS3_210326_071	B3 Sta 50	6.62	11639901	10873870
72	72	TQS3_210326_072	Blank	6.63	3467	3291
73	73	TQS3_210326_073	B4 Sta Blank	6.64	4092	3287
74	74	TQS3_210326_074	B4 Sta 0.625	6.64	374952	304416
75	75	TQS3_210326_075	B4 Sta 1.25	6.62	298	540
76	76	TQS3_210326_076	B4 Sta 3.125	6.63	1947352	1528529
77	77	TQS3_210326_077	B4 Sta 6.25	6.63	3838427	2929619
78	78	TQS3_210326_078	B4 Sta 12.5	6.63	7295402	5679339
79	79	TQS3_210326_079	B4 Sta 25	6.62	9959927	8868093
80	80	TQS3_210326_080	B4 Sta 50	6.62	11635942	10796502
81	81	TQS3_210326_081	20201008_W_1_12-LC	6.63	11096	7992
82	82	TQS3_210326_082	20201023_S_7-LC	6.63	241789	175795
83	83	TQS3_210326_083	20201023_S_8-LC	6.63	303087	223165
84	84	TQS3_210326_084	20190528_S_3-LC	6.63	697571	525037
85	85	TQS3_210326_085	20190528_S_4-LC	6.62	576357	439977
86	86	TQS3_210326_086	20190528_S_7-LC	6.63	542498	410030
87	87	TQS3_210326_087	20190528_S_8_12-LC	6.62	544626	406779
88	88	TQS3_210326_088	20190818_S_10_12-LC	6.62	191661	144761
89	89	TQS3_210326_089	20190818_S_2-LC	6.62	148217	113676
90	90	TQS3_210326_090	20190818_S_3-LC	6.62	235764	176597
91	91	TQS3_210326_091	20190818_S_4-LC	6.62	182833	139269
92	92	TQS3_210326_092	20190818_S_5-LC	6.62	179864	134190
93	93	TQS3_210326_093	20190818_S_6-LC	6.62	158303	121541
94	94	TQS3_210326_094	20190818_S_7-LC	6.62	216332	162299
95	95	TQS3_210326_095	20200617_S_1_4-LC	6.62	133929	101761
96	96	TQS3_210326_096	20200617_W_10_12-LC	6.61	352	780
97	97	TQS3_210326_097	20200617_W_6-LC	6.62	1927	1601
98	98	TQS3_210326_098	20200617_W_7-LC	6.63	748	209
99	99	TQS3_210326_099	20200617_W_8_9-LC	6.62	387	379
100	100	TQS3_210326_100	20200813_S_3-LC	6.62	92320	69646
101	101	TQS3_210326_101	20201023_S_1_2-LC	6.62	93940	70539
102	102	TQS3_210326_102	20201023_S_5-LC	6.62	157617	116284
103	103	TQS3_210326_103	20201023_S_6-LC	6.62	144024	104989
104	104	TQS3_210326_104	20190528_S_2-LC	6.62	315392	249825
105	105	TQS3_210326_105	20190528_S_5-LC	6.62	267582	212697
106	106	TQS3_210326_106	20190528_S_6-LC	6.62	310184	243306
107	107	TQS3_210326_107	20190818_S_1-LC	6.62	86488	66599
108	108	TQS3_210326_108	20190818_S_8_9-LC	6.62	86482	68056
109	109	TQS3_210326_109	20200617_S_8_9-LC	6.62	73599	56735
110	110	TQS3_210326_110	20190528_W_1-LC	6.62	5315	4475
111	111	TQS3_210326_111	20200813_S_4-LC	6.61	56926	40933
112	112	TQS3_210326_112	20200813_S_5-LC	6.62	57703	42946
113	113	TQS3_210326_113	20200813_S_6-LC	6.62	70390	52039
114	114	TQS3_210326_114	20200813_S_7-LC	6.61	64442	48977
115	115	TQS3_210326_115	20200813_S_8_12-LC	6.61	60155	44803
