Quantify Compound Summary Report 

Printed Wed Feb 02 11:09:36 2022

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
145	145	U1_201211_145	20201008_S_1_12-GLY	4.23	11748
146	146	U1_201211_146	20201023_S_1_2-GLY	4.23	6090
147	147	U1_201211_147	20201023_S_3-GLY	4.23	3076
148	148	U1_201211_148	20201023_S_4-GLY	4.23	2723
149	149	U1_201211_149	20201023_S_5-GLY	4.23	2594
150	150	U1_201211_150	20201023_S_6-GLY	4.23	2879
151	151	U1_201211_151	20201023_S_7-GLY	4.23	2887
152	152	U1_201211_152	20201023_S_8-GLY	4.23	3788
153	153	U1_201211_153	GLY-RS-QC1 0.2	4.24	1619
154	154	U1_201211_154	GLY-RS-QC2 0.5	4.23	3496
155	155	U1_201211_155	Blank	3.78	6
156	156	U1_201211_156	Sta 0.1 µg/ml	4.24	11882
157	157	U1_201211_157	Blank	3.99	2
158	158	U1_201211_158	Sta Blank	4.22	67
159	159	U1_201211_159	Sta 0.005 µg/ml	4.24	705
160	160	U1_201211_160	Sta 0.01 µg/ml	4.23	873
161	161	U1_201211_161	Sta 0.02 µg/ml	4.24	2290
162	162	U1_201211_162	Sta 0.05 µg/ml	4.23	5411
163	163	U1_201211_163	Sta 0.1 µg/ml	4.23	10152
164	164	U1_201211_164	Sta 0.2 µg/ml	4.23	20443
165	165	U1_201211_165	Sta 0.5 µg/ml	4.23	52389
166	166	U1_201211_166	Sta 1 µg/ml	4.23	122512
167	167	U1_201211_167	Sta 2 µg/ml	4.23	283886
168	168	U1_201211_168	Blank	3.95	2
169	169	U1_201211_169	Sta 0.1 µg/ml	4.23	10673
170	170	U1_201211_170	Blank	4.04	10
171	171	U1_201211_171	Blank	4.08	1

Compound 2:  GLY_FMOC_ql

	#	Name	Sample Text	RT	Area
1	1	U1_201211_001	Sta 0.1µg/ml	4.28	5422
2	2	U1_201211_002	Sta 0.1µg/ml	4.25	5248
3	3	U1_201211_003	Blank	3.99	2
4	4	U1_201211_004	Sta 0 µg/ml	4.26	167
5	5	U1_201211_005	Sta 0.005µg/ml	4.25	324
6	6	U1_201211_006	Sta 0.01µg/ml	4.25	487
