Quantify Compound Summary Report 

Printed Fri Oct 08 13:17:35 2021

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
37	37	U1_04122020_037	Sta 0.1 µg/ml	4.22	4934
38	38	U1_04122020_038	Blank	4.08	2
39	39	U1_04122020_039	20190315_S_1-GLY	3.91	2
40	40	U1_04122020_040	20190415_C_A-GLY	3.96	21
41	41	U1_04122020_041	20190415_C_B-GLY	4.22	2409
42	42	U1_04122020_042	20190415_C_C-GLY	4.22	171
43	43	U1_04122020_043	20190415_C_D-GLY	3.99	5
44	44	U1_04122020_044	20190415_C_E-GLY	4.21	2524
45	45	U1_04122020_045	20190415_C_F-GLY	3.97	12
46	46	U1_04122020_046	20190510_S_1_9-GLY	4.21	1357
47	47	U1_04122020_047	Blank	4.03	11
48	48	U1_04122020_048	Sta 0.1 µg/ml	4.22	4727
49	49	U1_04122020_049	Blank	4.05	0
50	50	U1_04122020_050	20190511_C_G-GLY	4.23	298
51	51	U1_04122020_051	20190511_C_H-GLY	4.20	700
52	52	U1_04122020_052	20190511_C_I-GLY	4.21	1329
53	53	U1_04122020_053	20190511_C_J-GLY	4.22	133
54	54	U1_04122020_054	20190511_C_K-GLY	4.22	9041
55	55	U1_04122020_055	20190511_C_L-GLY	4.21	81776
56	56	U1_04122020_056	20190511_C_M-GLY	4.21	550
57	57	U1_04122020_057	20190511_C_N-GLY	4.22	699
58	58	U1_04122020_058	20190511_C_O-GLY	4.21	1016
59	59	U1_04122020_059	Blank	3.95	11
60	60	U1_04122020_060	Sta 0.1 µg/ml	4.22	5239
61	61	U1_04122020_061	Blank	4.05	5
62	62	U1_04122020_062	20190528_C_A-GLY	4.21	580
63	63	U1_04122020_063	20190528_C_B-GLY	4.20	845
64	64	U1_04122020_064	20190528_C_C-GLY	4.20	180
65	65	U1_04122020_065	20190528_C_D-GLY	4.21	118
66	66	U1_04122020_066	20190528_C_E-GLY	4.21	13697
67	67	U1_04122020_067	20190528_C_F-GLY	4.21	462
68	68	U1_04122020_068	20190528_C_G-GLY	4.21	426
69	69	U1_04122020_069	20190528_C_H-GLY	3.95	20
70	70	U1_04122020_070	Blank	3.99	5
71	71	U1_04122020_071	Sta 0.1 µg/ml	4.22	5148
72	72	U1_04122020_072	Blank	4.03	5
73	73	U1_04122020_073	Sta Blank	4.01	5
74	74	U1_04122020_074	Sta 0.005 µg/ml	4.22	246
75	75	U1_04122020_075	Sta 0.01 µg/ml	4.22	583
76	76	U1_04122020_076	Sta 0.02 µg/ml	4.22	968
77	77	U1_04122020_077	Sta 0.05 µg/ml	4.22	2258
78	78	U1_04122020_078	Sta 0.1 µg/ml	4.22	4746
79	79	U1_04122020_079	Sta 0.2 µg/ml	4.22	10210
80	80	U1_04122020_080	Sta 0.5 µg/ml	4.21	27964
81	81	U1_04122020_081	Sta 1 µg/ml	4.21	60775
82	82	U1_04122020_082	Sta 2 µg/ml	4.21	144884
83	83	U1_04122020_083	Blank	3.96	12
84	84	U1_04122020_084	Sta 0.1 µg/ml	4.22	5505
85	85	U1_04122020_085	Blank	4.00	9
86	86	U1_04122020_086	20190606_S_1_2-GLY	4.22	700
87	87	U1_04122020_087	20190615_S_1_9-GLY	4.22	1000
88	88	U1_04122020_088	20190819_C_I-GLY	4.04	7
89	89	U1_04122020_089	20190819_C_J-GLY	4.22	444
90	90	U1_04122020_090	20190819_C_K-GLY	4.21	183
91	91	U1_04122020_091	20190819_C_L-GLY	4.21	11269
92	92	U1_04122020_092	20190819_C_M-GLY	4.22	1874
93	93	U1_04122020_093	20190819_C_N-GLY	4.20	457
94	94	U1_04122020_094	20190819_C_O-GLY	4.20	225
95	95	U1_04122020_095	20190819_C_P-GLY	4.22	426
96	96	U1_04122020_096	20190819_C_Q-GLY	4.21	272
97	97	U1_04122020_097	Blank	4.06	5
98	98	U1_04122020_098	Sta 0.1 µg/ml	4.22	5503
99	99	U1_04122020_099	Blank	4.00	11
100	100	U1_04122020_100	20200304_C_A-GLY	4.13	20
101	101	U1_04122020_101	20200304_C_B-GLY	3.97	28
102	102	U1_04122020_102	20200304_C_C-GLY	3.98	6
103	103	U1_04122020_103	20200304_C_D-GLY	4.02	9
104	104	U1_04122020_104	20200304_C_Eg-GLY	4.13	5
105	105	U1_04122020_105	20200304_C_Et-GLY	4.22	3967
106	106	U1_04122020_106	20200304_C_Fg-GLY	3.95	55
107	107	U1_04122020_107	20200304_C_Ft-GLY	4.21	3493
108	108	U1_04122020_108	Blank	4.00	11
109	109	U1_04122020_109	Sta 0.1 µg/ml	4.22	5440
110	110	U1_04122020_110	Blank	4.08	15
111	111	U1_04122020_111	20200304_C_G-GLY	3.89	16
112	112	U1_04122020_112	20200304_C_Hg-GLY	4.22	480
113	113	U1_04122020_113	20200304_C_Ht-GLY	4.21	18083
114	114	U1_04122020_114	20200304_C_Ig-GLY	4.21	318
115	115	U1_04122020_115	20200304_C_It-GLY	4.22	6626
116	116	U1_04122020_116	20200304_C_Jg-GLY	4.22	117
117	117	U1_04122020_117	20200304_C_Jt-GLY	4.22	1780
118	118	U1_04122020_118	20200304_C_Kg-GLY	4.03	9
119	119	U1_04122020_119	Blank	3.93	21
120	120	U1_04122020_120	Sta 0.1 µg/ml	4.21	4101
121	121	U1_04122020_121	Blank	4.01	4
122	122	U1_04122020_122	20200304_C_Kt-GLY	4.21	992
123	123	U1_04122020_123	20200304_C_L-GLY	4.23	125
124	124	U1_04122020_124	20200304_C_M-GLY	3.93	3
125	125	U1_04122020_125	20200304_C_N-GLY	4.01	1
126	126	U1_04122020_126	20200304_C_O-GLY	4.04	4
127	127	U1_04122020_127	20200304_C_P-GLY	3.98	6
128	128	U1_04122020_128	20200304_C_Q-GLY	3.98	1
129	129	U1_04122020_129	20200304_C_R-GLY	3.96	29
130	130	U1_04122020_130	Blank	4.11	7
131	131	U1_04122020_131	Sta 0.1 µg/ml	4.22	3957
132	132	U1_04122020_132	Blank	3.97	3
133	133	U1_04122020_133	20200304_C_S-GLY	4.07	2
134	134	U1_04122020_134	20200304_C_T-GLY	4.20	130
135	135	U1_04122020_135	20200304_C_U-GLY	4.06	3
136	136	U1_04122020_136	20200304_C_V-GLY	3.99	9
137	137	U1_04122020_137	20200304_C_W-GLY	3.95	13
138	138	U1_04122020_138	20200304_C_X-GLY	4.01	4
139	139	U1_04122020_139	20200627_S_1_5-GLY	4.22	466
140	140	U1_04122020_140	20200701_S_1_12-GLY	4.22	502
141	141	U1_04122020_141	20200812_S_1_12-GLY	4.21	515
142	142	U1_04122020_142	Blank		
143	143	U1_04122020_143	Sta 0.1 µg/ml	4.22	3447
144	144	U1_04122020_144	Blank	4.04	5
145	145	U1_04122020_145	20200820_C_A-GLY	4.01	10
146	146	U1_04122020_146	20200820_C_B-GLY	4.22	244
147	147	U1_04122020_147	20200820_C_C-GLY	3.99	7
148	148	U1_04122020_148	20200820_C_D-GLY	4.21	233
149	149	U1_04122020_149	20200820_C_E-GLY	4.22	52
150	150	U1_04122020_150	20200820_C_Ft-GLY	4.21	3728
151	151	U1_04122020_151	20200831_S_1_12-GLY	4.08	22
152	152	U1_04122020_152	20200924_S_1_9-GLY	4.20	386341
153	153	U1_04122020_153	20200928_S_1_12-GLY	4.21	58684
154	154	U1_04122020_154	Blank	3.93	6
155	155	U1_04122020_155	Sta 0.1 µg/ml	4.22	6924
156	156	U1_04122020_156	Blank	4.11	19
157	157	U1_04122020_157	Sta Blank	4.22	86
158	158	U1_04122020_158	Sta 0.005 µg/ml	4.21	351
159	159	U1_04122020_159	Sta 0.01 µg/ml	4.22	711
