Teller,Monsters,Name,RT,Quant Area,Qual Area
18,QC 10,Folpet,16.99,265,129
19,Cal 5,Folpet,16.998,3368,10641
20,31110 A,Folpet,17.011,0,0
21,31110 Spike,Folpet,,,
22,31111 A,Folpet,17.04,27,16
23,31111 B,Folpet,17.103,325,53
24,31120,Folpet,17.002,23,
25,31121,Folpet,17.111,124,5
26,31130,Folpet,17.103,91,8
27,31131,Folpet,17.077,187,20
28,31210,Folpet,17.065,52,8
29,31211,Folpet,,,
30,Cal 5,Folpet,16.998,2479,7069
31,31220,Folpet,17.006,0,
32,31221,Folpet,,,
33,31230,Folpet,16.956,101,30
34,31231,Folpet,,,
35,31310,Folpet,16.935,96,
36,31311,Folpet,16.881,0,10
37,31320,Folpet,17.015,29,
38,31321,Folpet,17.077,43,56
39,31330,Folpet,17.032,370,56
40,31331,Folpet,16.99,440,90
41,Cal 5,Folpet,16.994,2180,6917
42,32110 A,Folpet,17.111,57,
43,32110 B,Folpet,17.036,51,10
44,32111 A,Folpet,17.002,157,78
45,32111 Spike,Folpet,16.986,26,13
46,32120,Folpet,,,
47,32121,Folpet,16.99,40,27
48,32130,Folpet,16.977,45,9
49,32131,Folpet,16.965,0,
50,32210,Folpet,17.082,0,0
51,32211,Folpet,16.986,0,
52,Cal 5,Folpet,16.99,1730,5400
53,32220,Folpet,,,
54,32221,Folpet,17.023,0,0
55,32230,Folpet,,,
56,32231,Folpet,16.969,0,0
57,32310,Folpet,17.036,0,
58,32311,Folpet,17.061,0,
59,32320,Folpet,16.986,103,
60,32321,Folpet,16.981,80,
61,32330,Folpet,17.077,0,0
62,32331,Folpet,17.077,48,22
63,Cal 5,Folpet,16.99,2235,5870
64,33110 A,Folpet,17.019,150,
65,33110 Spike,Folpet,17.128,11,15
66,33111 A,Folpet,16.998,0,
67,33111 B,Folpet,,,
68,33120,Folpet,17.069,13,63
69,33121,Folpet,16.965,110,
70,33130,Folpet,16.99,33,
71,33131,Folpet,,,
72,33210,Folpet,17.002,13,20
73,33211,Folpet,17.09,63,216
74,Cal 5,Folpet,16.994,1596,4734
75,Cal 5 II,Folpet,16.986,453,952
76,33220,Folpet,17.023,19,
77,33221,Folpet,17.077,39,10
78,33230,Folpet,,,
79,33231,Folpet,17.015,11,26
80,33310,Folpet,17.002,60,62
81,33311,Folpet,17.019,14,59
82,33320,Folpet,16.994,33,10
83,33321,Folpet,17.082,33,
84,33330,Folpet,17.027,30,13
85,33331,Folpet,16.956,11,21
86,Cal 5 II,Folpet,16.99,551,1108
87,Blanck chemical II,Folpet,16.986,180,85
88,QC 0 II,Folpet,16.994,165,18
89,QC 0.5 II,Folpet,16.994,251,112
90,QC 1 II,Folpet,16.96,161,96
91,QC 2.5 II,Folpet,16.998,87,68
92,QC 5 II,Folpet,17.006,157,74
93,QC 10 II,Folpet,17.011,171,32
94,Cal 5 II,Folpet,16.986,404,1266
95,21110 A,Folpet,17.044,62,
96,21110 Spike,Folpet,17.011,147,66
97,21111 A,Folpet,16.952,36,12
98,21111 B,Folpet,16.935,8,
99,21120,Folpet,16.927,23,29
100,21121,Folpet,17.006,34,
101,21130,Folpet,17.027,54,20
102,21131,Folpet,,,
103,21210,Folpet,16.906,60,15
104,21211,Folpet,,,
105,Cal 5 II,Folpet,16.99,566,1636
106,21220,Folpet,16.96,97,28
107,21221,Folpet,16.906,170,90
108,21230,Folpet,17.036,126,
109,21231,Folpet,17.077,214,
110,21310,Folpet,17.036,104,
111,21311,Folpet,,,
112,21320,Folpet,,,
113,21321,Folpet,17.044,99,5
114,21330,Folpet,17.048,113,
115,21331,Folpet,17.111,77,27
116,Cal 5 II,Folpet,16.99,752,1922
117,Cal 5 II 1,Folpet,16.994,233,420
118,22110 A,Folpet,16.998,111,12
119,22110 B,Folpet,17.011,24,
120,22111 A,Folpet,17.052,26,5
121,22111 Spike,Folpet,17.002,83,86
122,22120,Folpet,16.864,41,
123,22121,Folpet,16.881,25,
124,22130,Folpet,16.981,80,4
125,22131,Folpet,16.94,58,28
126,22210,Folpet,17.04,203,
127,22211,Folpet,,,
128,Cal 5 II 1,Folpet,16.99,350,423
129,22220,Folpet,17.023,0,10
130,22221,Folpet,16.977,0,10
131,22230,Folpet,,,
132,22231,Folpet,16.99,0,0
133,22310,Folpet,,,
134,Cal 5 II 1,Folpet,16.99,277,370
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Cyfluthrin I,21.972,2324,6963
4,Cal 0.125,Cyfluthrin I,21.96,4489,6111
5,Cal 0.25,Cyfluthrin I,21.968,3778,8054
6,Cal 0.5,Cyfluthrin I,21.96,5339,6709
7,Cal 1,Cyfluthrin I,21.964,10001,10949
8,Cal 5,Cyfluthrin I,21.964,45909,34444
9,Cal 10,Cyfluthrin I,21.964,91852,69100
10,Cal 25,Cyfluthrin I,21.964,233098,161164
11,Cal 5,Cyfluthrin I,21.964,48857,36932
12,Blanck chemical,Cyfluthrin I,21.93,3095,4684
13,QC 0,Cyfluthrin I,21.96,1558,4060
14,QC 0.5,Cyfluthrin I,21.956,4833,7282
15,QC 1,Cyfluthrin I,21.96,3175,5758
16,QC 2.5,Cyfluthrin I,21.96,8203,8486
17,QC 5,Cyfluthrin I,21.96,11002,10805
18,QC 10,Cyfluthrin I,21.96,19803,14854
19,Cal 5,Cyfluthrin I,21.96,46815,35510
20,31110 A,Cyfluthrin I,21.951,1552,3328
21,31110 Spike,Cyfluthrin I,21.96,10888,8890
22,31111 A,Cyfluthrin I,21.96,2405,3795
23,31111 B,Cyfluthrin I,21.977,2726,3683
24,31120,Cyfluthrin I,21.96,1694,3157
25,31121,Cyfluthrin I,21.951,2978,4673
26,31130,Cyfluthrin I,21.972,2565,4616
27,31131,Cyfluthrin I,21.994,2391,5423
28,31210,Cyfluthrin I,21.943,1819,3626
29,31211,Cyfluthrin I,21.934,913,2378
30,Cal 5,Cyfluthrin I,21.964,42552,32066
31,31220,Cyfluthrin I,21.985,1660,4053
32,31221,Cyfluthrin I,21.989,2439,7645
33,31230,Cyfluthrin I,21.985,2953,1695
34,31231,Cyfluthrin I,22.027,475,7760
35,31310,Cyfluthrin I,21.994,3191,4747
36,31311,Cyfluthrin I,21.956,1643,6920
37,31320,Cyfluthrin I,21.994,1462,4665
38,31321,Cyfluthrin I,21.964,2620,4189
39,31330,Cyfluthrin I,21.977,1877,3223
40,31331,Cyfluthrin I,22.01,2378,3554
41,Cal 5,Cyfluthrin I,21.96,40564,31601
42,32110 A,Cyfluthrin I,21.947,2419,
43,32110 B,Cyfluthrin I,21.964,1909,3958
44,32111 A,Cyfluthrin I,22.002,2372,3778
45,32111 Spike,Cyfluthrin I,21.956,10219,9484
46,32120,Cyfluthrin I,22.002,2807,4988
47,32121,Cyfluthrin I,21.977,1736,16393
48,32130,Cyfluthrin I,21.93,2038,6790
49,32131,Cyfluthrin I,21.981,1890,3046
50,32210,Cyfluthrin I,21.977,257,3200
51,32211,Cyfluthrin I,21.96,59,5578
52,Cal 5,Cyfluthrin I,21.96,38709,29151
53,32220,Cyfluthrin I,21.943,826,3510
54,32221,Cyfluthrin I,21.994,2567,5996
55,32230,Cyfluthrin I,22.006,2347,8303
56,32231,Cyfluthrin I,21.981,2767,15809
57,32310,Cyfluthrin I,21.943,1144,750
58,32311,Cyfluthrin I,21.96,2544,6929
59,32320,Cyfluthrin I,21.96,2273,2569
60,32321,Cyfluthrin I,21.96,2536,2835
61,32330,Cyfluthrin I,21.977,994,
62,32331,Cyfluthrin I,,,
63,Cal 5,Cyfluthrin I,21.956,41045,30771
64,33110 A,Cyfluthrin I,21.981,2275,4647
65,33110 Spike,Cyfluthrin I,21.956,8403,7968
66,33111 A,Cyfluthrin I,21.939,1794,4543
67,33111 B,Cyfluthrin I,21.964,1436,4387
68,33120,Cyfluthrin I,,,
69,33121,Cyfluthrin I,21.947,3214,2626
70,33130,Cyfluthrin I,21.989,2332,2949
71,33131,Cyfluthrin I,21.964,2335,1511
72,33210,Cyfluthrin I,21.972,2124,3002
73,33211,Cyfluthrin I,21.934,481,
74,Cal 5,Cyfluthrin I,21.951,36136,27037
75,Cal 5 II,Cyfluthrin I,21.951,27803,21040
76,33220,Cyfluthrin I,21.994,2897,5197
77,33221,Cyfluthrin I,22.019,3275,3980
78,33230,Cyfluthrin I,21.93,462,2325
79,33231,Cyfluthrin I,21.939,1353,2825
80,33310,Cyfluthrin I,21.943,1070,2935
81,33311,Cyfluthrin I,21.943,3439,7139
82,33320,Cyfluthrin I,,,
83,33321,Cyfluthrin I,21.943,2438,3119
84,33330,Cyfluthrin I,21.956,608,
85,33331,Cyfluthrin I,21.956,3097,6660
86,Cal 5 II,Cyfluthrin I,21.947,28466,21020
87,Blanck chemical II,Cyfluthrin I,21.939,1061,1851
88,QC 0 II,Cyfluthrin I,21.964,1871,4755
89,QC 0.5 II,Cyfluthrin I,21.947,2811,3559
90,QC 1 II,Cyfluthrin I,21.951,3079,3679
91,QC 2.5 II,Cyfluthrin I,21.951,4325,4348
92,QC 5 II,Cyfluthrin I,21.951,7877,8091
93,QC 10 II,Cyfluthrin I,21.947,13398,9764
94,Cal 5 II,Cyfluthrin I,21.947,26378,18937
95,21110 A,Cyfluthrin I,21.985,2298,5253
96,21110 Spike,Cyfluthrin I,21.951,6420,5046
97,21111 A,Cyfluthrin I,21.998,1756,2296
98,21111 B,Cyfluthrin I,21.943,3735,1698
99,21120,Cyfluthrin I,21.939,555,4299
100,21121,Cyfluthrin I,,,
101,21130,Cyfluthrin I,22.036,2635,1261
102,21131,Cyfluthrin I,22.044,2658,2389
103,21210,Cyfluthrin I,21.96,1195,3730
104,21211,Cyfluthrin I,21.989,1483,5871
105,Cal 5 II,Cyfluthrin I,21.947,26705,20402
106,21220,Cyfluthrin I,,,
107,21221,Cyfluthrin I,21.968,324,2709
108,21230,Cyfluthrin I,21.994,131,3292
109,21231,Cyfluthrin I,21.939,255,
110,21310,Cyfluthrin I,21.939,1227,1982
111,21311,Cyfluthrin I,21.93,1696,1324
112,21320,Cyfluthrin I,21.968,1657,2288
113,21321,Cyfluthrin I,21.934,365,557
114,21330,Cyfluthrin I,21.989,2568,3467
115,21331,Cyfluthrin I,22.032,2825,2908
116,Cal 5 II,Cyfluthrin I,21.951,26445,20697
117,Cal 5 II 1,Cyfluthrin I,21.947,22986,16952
118,22110 A,Cyfluthrin I,21.981,1205,2849
119,22110 B,Cyfluthrin I,,,
120,22111 A,Cyfluthrin I,21.93,1332,6043
121,22111 Spike,Cyfluthrin I,21.939,4635,3520
122,22120,Cyfluthrin I,21.968,1019,
123,22121,Cyfluthrin I,22.002,1872,2892
124,22130,Cyfluthrin I,21.93,482,
125,22131,Cyfluthrin I,21.985,1967,5207
126,22210,Cyfluthrin I,21.972,1334,5722
127,22211,Cyfluthrin I,21.977,1601,4164
128,Cal 5 II 1,Cyfluthrin I,21.951,21415,17315
129,22220,Cyfluthrin I,21.93,1074,4149
130,22221,Cyfluthrin I,21.989,1721,3414
131,22230,Cyfluthrin I,21.939,995,
132,22231,Cyfluthrin I,21.947,452,3240
133,22310,Cyfluthrin I,21.96,1236,3252
134,Cal 5 II 1,Cyfluthrin I,21.951,22573,16350
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Cypermethrin I,21.987,6988,3156
4,Cal 0.125,Cypermethrin I,21.999,6423,4327
5,Cal 0.25,Cypermethrin I,21.999,8440,3481
6,Cal 0.5,Cypermethrin I,22.008,12212,7170
7,Cal 1,Cypermethrin I,22.012,24121,8365
8,Cal 5,Cypermethrin I,22.012,86825,28054
9,Cal 10,Cypermethrin I,22.008,179366,53500
10,Cal 25,Cypermethrin I,22.008,404300,110387
11,Cal 5,Cypermethrin I,22.008,95949,26082
12,Blanck chemical,Cypermethrin I,22.016,6011,3379
13,QC 0,Cypermethrin I,21.987,4533,2294
14,QC 0.5,Cypermethrin I,22.003,5034,4027
15,QC 1,Cypermethrin I,22.008,7769,5190
16,QC 2.5,Cypermethrin I,22.008,10904,5364
17,QC 5,Cypermethrin I,22.008,19818,7344
18,QC 10,Cypermethrin I,22.008,33172,12290
19,Cal 5,Cypermethrin I,22.008,84662,27023
20,31110 A,Cypermethrin I,21.991,3541,695
21,31110 Spike,Cypermethrin I,22.008,17660,8029
22,31111 A,Cypermethrin I,,,
23,31111 B,Cypermethrin I,22.12,0,0
24,31120,Cypermethrin I,,,
25,31121,Cypermethrin I,22.12,0,0
26,31130,Cypermethrin I,,,
27,31131,Cypermethrin I,,,
28,31210,Cypermethrin I,22.008,7290,2976
29,31211,Cypermethrin I,22.003,53825,16063
30,Cal 5,Cypermethrin I,22.003,78207,20436
31,31220,Cypermethrin I,22.012,0,0
32,31221,Cypermethrin I,22.003,133561,46245
33,31230,Cypermethrin I,,,
34,31231,Cypermethrin I,22.008,106736,42829
35,31310,Cypermethrin I,,,
36,31311,Cypermethrin I,21.97,0,0
37,31320,Cypermethrin I,21.94,0,
38,31321,Cypermethrin I,22.12,0,0
39,31330,Cypermethrin I,22.05,0,
40,31331,Cypermethrin I,21.995,0,0
41,Cal 5,Cypermethrin I,22.008,73434,23979
42,32110 A,Cypermethrin I,22.112,0,0
43,32110 B,Cypermethrin I,22.012,0,0
44,32111 A,Cypermethrin I,22.012,10813,4753
45,32111 Spike,Cypermethrin I,22.003,21619,6687
46,32120,Cypermethrin I,21.978,476,
47,32121,Cypermethrin I,22.07,0,0
48,32130,Cypermethrin I,21.957,0,0
49,32131,Cypermethrin I,22.05,0,0
50,32210,Cypermethrin I,22.008,3171,3699
51,32211,Cypermethrin I,22.008,20654,6032
52,Cal 5,Cypermethrin I,22.003,70815,22493
53,32220,Cypermethrin I,22.008,12044,4430
54,32221,Cypermethrin I,22.003,58019,17093
55,32230,Cypermethrin I,21.999,29120,10569
56,32231,Cypermethrin I,22.003,231912,67187
57,32310,Cypermethrin I,21.999,5588,4547
58,32311,Cypermethrin I,22.008,11964,5465
59,32320,Cypermethrin I,21.999,5034,6581
60,32321,Cypermethrin I,21.999,0,0
61,32330,Cypermethrin I,21.999,6081,4459
62,32331,Cypermethrin I,21.991,5228,4547
