Quantify Compound Summary Report 

Printed Wed Jul 29 18:01:25 2020

Compound 1:  13C-Caffeine

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
36	TQS3_200728_036	40G	5.02	233.348	21.533		1	
37	TQS3_200728_037	42D	5.10	143.720	23.983		1	
38	TQS3_200728_038	43E	5.02	242.100	29.427		1	
39	TQS3_200728_039	43F	5.25	12.217	12.011		1	
40	TQS3_200728_040	44D	5.02	359.125	51.021		1	
41	TQS3_200728_041	46B	5.04	246.994	36.350		1	
42	TQS3_200728_042	46B_b	5.03	180.559	15.201		1	
43	TQS3_200728_043	50B	4.96	116.409	55.925		1	
44	TQS3_200728_044	52D	5.01	290.172	37.288		1	
45	TQS3_200728_045	Std Mx B 5ng/mL	5.02	40204.395	1677.173		1	
46	TQS3_200728_046	mq H2O	5.03	45.383	21.039		1	
47	TQS3_200728_047	Cal 0	5.13	67.949	12.953		1	
48	TQS3_200728_048	Cal 0.125	5.02	929.002	52.681		1	
49	TQS3_200728_049	Cal 0.25	5.02	1726.412	41.752		1	
50	TQS3_200728_050	Cal 0.5	5.03	3376.787	140.468		1	
51	TQS3_200728_051	Cal 1	5.02	7111.984	337.613		1	
52	TQS3_200728_052	Cal 2.5	5.02	16649.475	667.798		1	
53	TQS3_200728_053	Cal 5	5.02	34023.203	1411.925		1	
54	TQS3_200728_054	Cal 10	5.02	73639.766	3050.743		1	
55	TQS3_200728_055	Cal 25	5.02	176120.313	7509.206		1	

Compound 6:  Pyraclostrobin

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
1	TQS3_200728_001	mq H2O	7.47	3814.605	3585.932		1	
2	TQS3_200728_002	Cal 0	7.46	2173.878	2081.527		1	
3	TQS3_200728_003	Cal 0.125	7.44	14277.438	12842.147		1	
4	TQS3_200728_004	Cal 0.25	7.43	26506.195	23952.176		1	
5	TQS3_200728_005	Cal 0.5	7.44	54019.020	49414.676		1	
6	TQS3_200728_006	Cal 1	7.44	130508.344	118892.156		1	
7	TQS3_200728_007	Cal 2.5	7.44	266823.750	247289.297		1	
8	TQS3_200728_008	Cal 5	7.44	556214.188	512284.719		1	
9	TQS3_200728_009	Cal 10	7.44	1248386.500	1138720.875		1	
10	TQS3_200728_010	Cal 25	7.44	3509678.750	3225007.250		1	
11	TQS3_200728_011	mq H2O	7.44	2280.758	1887.181		1	
12	TQS3_200728_012	Std Mx B 5ng/mL	7.44	762637.938	701442.188		1	
13	TQS3_200728_013	22D	7.44	232363.500	211445.047		1	
14	TQS3_200728_014	22I	7.44	218354.594	197607.453		1	
15	TQS3_200728_015	22I_spike	7.44	494023.969	452164.625		1	
16	TQS3_200728_016	23E	7.44	2580.952	2300.534		1	
17	TQS3_200728_017	23H	7.44	215795.688	199808.781		1	
18	TQS3_200728_018	24B	7.44	268775.313	245180.859		1	
19	TQS3_200728_019	24G	7.44	2033.996	1837.243		1	
20	TQS3_200728_020	24G_spike	7.44	181519.297	166878.875		1	
21	TQS3_200728_021	25F	7.43	1977.786	1746.600		1	
22	TQS3_200728_022	26I	7.44	2083.975	1775.564		1	
23	TQS3_200728_023	Std Mx B 5ng/mL	7.44	756644.750	695644.563		1	
24	TQS3_200728_024	27A	7.44	2166.550	1735.194		1	
25	TQS3_200728_025	27H	7.44	307159.969	278069.813		1	
26	TQS3_200728_026	28B	7.44	472631.719	436063.719		1	
27	TQS3_200728_027	29A	7.44	1828.210	1717.781		1	
28	TQS3_200728_028	29J	7.44	327276.438	299961.875		1	
29	TQS3_200728_029	32D	7.44	256234.688	235546.875		1	
30	TQS3_200728_030	33H	7.44	304632.813	280631.563		1	
31	TQS3_200728_031	34G	7.44	117641.125	111077.531		1	
32	TQS3_200728_032	35C	7.44	1601.620	1266.111		1	
33	TQS3_200728_033	38D	7.44	1383.089	1365.341		1	
34	TQS3_200728_034	Std Mx B 5ng/mL	7.44	753437.313	688749.688		1	
35	TQS3_200728_035	39F	7.44	2118.997	1921.170		1	
36	TQS3_200728_036	40G	7.44	248906.938	226951.328		1	
37	TQS3_200728_037	42D	7.44	1900.193	1665.600		1	
38	TQS3_200728_038	43E	7.44	231536.875	213348.203		1	
39	TQS3_200728_039	43F	7.44	2126.060	1927.472		1	
40	TQS3_200728_040	44D	7.44	246740.156	227520.641		1	
41	TQS3_200728_041	46B	7.44	511042.469	460704.750		1	
42	TQS3_200728_042	46B_b	7.44	385782.094	353190.156		1	
43	TQS3_200728_043	50B	7.44	2152.327	1902.789		1	
44	TQS3_200728_044	52D	7.44	229646.500	211223.422		1	
45	TQS3_200728_045	Std Mx B 5ng/mL	7.44	765008.938	694486.250		1	
46	TQS3_200728_046	mq H2O	7.44	887.065	728.004		1	
47	TQS3_200728_047	Cal 0	7.43	973.910	821.354		1	
48	TQS3_200728_048	Cal 0.125	7.44	14440.998	13148.552		1	
49	TQS3_200728_049	Cal 0.25	7.44	27267.609	25637.209		1	
50	TQS3_200728_050	Cal 0.5	7.44	56166.797	52131.031		1	
51	TQS3_200728_051	Cal 1	7.44	128336.953	120596.281		1	
52	TQS3_200728_052	Cal 2.5	7.44	277962.813	255921.969		1	
53	TQS3_200728_053	Cal 5	7.44	578813.500	531809.688		1	
54	TQS3_200728_054	Cal 10	7.44	1293042.375	1206061.500		1	
55	TQS3_200728_055	Cal 25	7.44	3564680.250	3320798.250		1	

